timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-27T17:20:25,ntnu_finetune,17007a22-bba0-425a-b6ae-28aa46b55577,33.78325533866882,5.5545458015527487e-05,1.6441712753462609e-06,42.5,212.0079904102253,0.6416516304016113,0.000398829529186,0.001512050931862,9.44652306692954e-06,0.001920326984115,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T17:49:44,ntnu_finetune,e826916a-fe42-40a3-aac1-f92cefed5e58,282.3206422328949,0.0004876238725279,1.727198793085992e-06,42.5,207.0502251100524,0.724431037902832,0.0033329482518964,0.0133774345908279,0.0001478322835649,0.0168582151262893,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T17:58:02,ntnu_finetune,f4356b93-adf3-45ed-8fd5-5981dd29f544,308.80797290802,0.0005252304568349,1.7008319179354527e-06,42.5,121.69929475566256,0.7646641731262207,0.0036456445546613,0.014339308971438,0.0001734028035429,0.0181583563296424,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:05:03,ntnu_finetune,6f317913-8f58-4a3d-a264-173d741a2e3d,327.1321301460266,0.0005291997666408,1.6176942521805335e-06,42.5,200.3767548128052,0.7904090881347656,0.0038619712111022,0.0142478766760699,0.000185736093495,0.0182955839806672,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:11:33,ntnu_finetune,9c19036d-db1e-44a1-9ec6-2e56af18f6fe,281.8519058227539,0.0004871433766794,1.7283664456958354e-06,42.5,75.93024604099679,0.7357563972473145,0.0033274148987399,0.013373910421342,0.000140278022337,0.016841603342419,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:12:41,ntnu_finetune,0e945f91-10d0-4611-b63d-d002692040cf,19.695736169815063,2.456471277538364e-05,1.2472096784597767e-06,42.5,112.111062281394,0.6194286346435547,0.0002325188964605,0.00061334910179,3.3874131715397954e-06,0.000849255411422,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:28:38,ntnu_finetune,42839266-bf1c-4f4f-9885-5c0e9ec78001,793.696163892746,0.0013601404372058,1.71367898584127e-06,42.5,133.6025523963504,0.7802023887634277,0.0093700119611289,0.0372190917196939,0.0004339019269844,0.0470230056078073,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:30:20,ntnu_finetune,fe580d82-846c-4ec9-9af5-6df301a93907,32.57203984260559,5.259830806262866e-05,1.6148300295834672e-06,42.5,180.1432184715801,0.760671615600586,0.0003845304010642,0.0014219880820339,1.1919133587253724e-05,0.0018184376166855,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:38:35,ntnu_finetune,eb8efddb-d9f5-48a7-ab42-614aa369aeb1,90.72319316864014,0.0001904580957995,2.099331925469996e-06,42.5,190.7165556003476,0.7303504943847656,0.0010710364671217,0.005453267695944,6.024538920761292e-05,0.0065845495522733,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
2024-04-27T18:55:45,ntnu_finetune,34ff5a7c-833e-424f-a546-c1a53d9c36b7,889.2089681625366,0.0015726615089271,1.768607341170724e-06,42.5,207.189632990256,0.7926464080810547,0.010497591609425,0.043377209979518,0.0004955185122533,0.0543703201011964,Norway,NOR,trøndelag,,,Linux-5.15.0-105-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,24,AMD Ryzen 9 7900X 12-Core Processor,1,1 x NVIDIA GeForce RTX 4090,10.4012,63.4277,61.942718505859375,process,N,1.0
